,Algorithm,Partial,EnvName,mean,std
68,PQN_RNN (Lru),True,BattleShipMedium,0.7676165233333334,0.023878148974207168
69,PQN_RNN (Lru),True,CartPoleEasy,0.9887793766666667,0.0032681645802243664
70,PQN_RNN (Lru),True,CartPoleHard,0.91136374,0.0183545952199252
71,PQN_RNN (Lru),True,CartPoleMedium,0.95845542,0.015715368350286866
72,PQN_RNN (Lru),True,CountRecallEasy,0.36999377333333333,0.0036209283035753765
73,PQN_RNN (Lru),True,CountRecallHard,0.20856878999999998,0.00838413381212989
74,PQN_RNN (Lru),True,CountRecallMedium,0.24086689333333333,0.02115633212138705
75,PQN_RNN (Lru),True,MineSweeperEasy,0.6532821533333334,0.0360972595915055
76,PQN_RNN (Lru),True,MineSweeperHard,0.22808881666666667,0.0029900759562481545
77,PQN_RNN (Lru),True,MineSweeperMedium,0.3252702066666667,0.021481286238073216
78,PQN_RNN (Lru),True,NavigatorEasy,0.5949759666666666,0.006088851882197001
79,PQN_RNN (Lru),True,NavigatorHard,0.4809684533333334,0.010884092426290478
80,PQN_RNN (Lru),True,NavigatorMedium,0.49338805,0.02059047585456687
81,PQN_RNN (Lru),True,NoisyCartPoleEasy,0.9909809333333334,0.000969377946589161
82,PQN_RNN (Lru),True,NoisyCartPoleHard,0.9655028566666667,0.004223382944528377
83,PQN_RNN (Lru),True,NoisyCartPoleMedium,0.9839084266666666,0.0030882682050840347
84,PQN_RNN (Mingru),False,AutoEncodeEasy,0.2736577,0.0019003438661463342
85,PQN_RNN (Mingru),False,AutoEncodeHard,0.25363522666666666,0.0011208182885880072
86,PQN_RNN (Mingru),False,AutoEncodeMedium,0.25618974,0.0016190548414429917
87,PQN_RNN (Mingru),False,BattleShipEasy,0.5969499333333333,0.06960340865434204
88,PQN_RNN (Mingru),False,BattleShipHard,0.3075947233333333,0.03144157048838422
89,PQN_RNN (Mingru),False,BattleShipMedium,0.38670132,0.022563877380414946
90,PQN_RNN (Mingru),False,CartPoleEasy,0.9564430533333333,0.004900123839101709
91,PQN_RNN (Mingru),False,CartPoleHard,0.8690044666666666,0.08753770515522627
92,PQN_RNN (Mingru),False,CartPoleMedium,0.9034565833333333,0.007769829483382123
93,PQN_RNN (Mingru),False,CountRecallEasy,0.3959110666666667,0.012006739176951161
94,PQN_RNN (Mingru),False,CountRecallHard,0.17031163000000002,0.007228084924155233
95,PQN_RNN (Mingru),False,CountRecallMedium,0.19601472,0.010763611243681187
96,PQN_RNN (Mingru),False,MineSweeperEasy,0.7107374766666666,0.013908838105342674
97,PQN_RNN (Mingru),False,MineSweeperHard,0.14465368666666667,0.00525883229367825
98,PQN_RNN (Mingru),False,MineSweeperMedium,0.29227547000000004,0.009887813658443411
99,PQN_RNN (Mingru),False,NavigatorEasy,-0.4914190166666667,0.01725027905008592
100,PQN_RNN (Mingru),False,NavigatorHard,-0.40838082666666664,0.021810600268929645
101,PQN_RNN (Mingru),False,NavigatorMedium,-0.47386948,0.0185329499821372
102,PQN_RNN (Mingru),False,NoisyCartPoleEasy,0.9582290533333334,0.008200456057228345
103,PQN_RNN (Mingru),False,NoisyCartPoleHard,0.8504926666666667,0.025505379073115814
104,PQN_RNN (Mingru),False,NoisyCartPoleMedium,0.92080387,0.017074476707996014
105,PQN_RNN (Mingru),True,AutoEncodeEasy,0.27514310999999997,0.004191673585132802
