Environment,Num Envs,Num Steps,FPS,Seed
MinAtar,8,32,135676,2
MinAtar,16,32,170368,2
MinAtar,32,32,197134,2
MinAtar,64,32,218857,2
MinAtar,128,32,229874,2
MinAtar,256,32,216240,2
MinAtar,512,32,237575,2
MinAtar,2,32,58585,3
MinAtar,4,32,97507,3
MinAtar,8,32,135711,3
MinAtar,16,32,172558,3
MinAtar,32,32,199905,3
MinAtar,64,32,221287,3
MinAtar,128,32,228410,3
MinAtar,256,32,236659,3
MinAtar,512,32,239835,3
MinAtar,2,32,59613,4
MinAtar,4,32,97400,4
MinAtar,8,32,134067,4
MinAtar,16,32,172102,4
MinAtar,32,32,199164,4
MinAtar,64,32,217919,4
MinAtar,128,32,229625,4
MinAtar,256,32,236634,4
MinAtar,512,32,217749,4
MinAtar,2,32,62543,5
MinAtar,4,32,97577,5
MinAtar,8,32,135198,5
MinAtar,16,32,172212,5
MinAtar,32,32,200831,5
MinAtar,64,32,197279,5
MinAtar,128,32,229163,5
MinAtar,256,32,237542,5
MinAtar,512,32,239871,5
MinAtar,2,32,62282,6
MinAtar,4,32,96058,6
MinAtar,8,32,137571,6
MinAtar,16,32,173170,6
MinAtar,32,32,198859,6
MinAtar,64,32,217869,6
MinAtar,128,32,227841,6
MinAtar,256,32,236041,6
MinAtar,512,32,238721,6
MinAtar,2,32,61371,7
MinAtar,4,32,94787,7
MinAtar,8,32,133883,7
MinAtar,16,32,171565,7
MinAtar,32,32,199330,7
MinAtar,64,32,219237,7
MinAtar,128,32,208874,7
MinAtar,256,32,237180,7
MinAtar,512,32,239455,7
MinAtar,2,32,61723,8
MinAtar,4,32,99939,8
MinAtar,8,32,136591,8
MinAtar,16,32,170300,8
MinAtar,32,32,199302,8
MinAtar,64,32,221094,8
MinAtar,128,32,230742,8
MinAtar,256,32,236047,8
MinAtar,512,32,237882,8
MinAtar,2,32,61980,9
MinAtar,4,32,89778,9
MinAtar,8,32,124622,9
MinAtar,16,32,170422,9
MinAtar,32,32,199016,9
MinAtar,64,32,218685,9
MinAtar,128,32,227974,9
MinAtar,256,32,216484,9
MinAtar,512,32,233203,9
POPGym,2,32,36777,0
POPGym,4,32,62733,0
POPGym,8,32,99577,0
POPGym,16,32,144378,0
POPGym,32,32,179121,0
POPGym,64,32,202273,0
POPGym,128,32,209240,0
POPGym,256,32,231460,0
POPGym,512,32,241226,0
POPGym,2,32,36438,1
POPGym,4,32,63385,1
POPGym,8,32,94171,1
POPGym,16,32,140340,1
POPGym,32,32,180393,1
POPGym,64,32,201689,1
POPGym,128,32,228934,1
POPGym,256,32,234464,1
POPGym,512,32,239684,1
POPGym,2,32,33592,2
POPGym,4,32,61231,2
POPGym,8,32,100041,2
POPGym,16,32,138897,2
POPGym,32,32,180673,2
POPGym,64,32,200995,2
POPGym,128,32,207649,2
POPGym,256,32,235913,2
POPGym,512,32,239296,2
POPGym,2,32,36717,3
POPGym,4,32,63139,3
POPGym,8,32,91328,3
POPGym,16,32,139828,3
POPGym,32,32,178890,3
POPGym,64,32,202207,3
POPGym,128,32,207971,3
POPGym,256,32,231813,3
POPGym,512,32,241256,3
POPGym,2,32,36344,4
POPGym,4,32,61909,4
POPGym,8,32,101210,4
POPGym,16,32,141096,4
POPGym,32,32,176435,4
POPGym,64,32,192933,4
POPGym,128,32,225698,4
POPGym,256,32,234122,4
POPGym,512,32,221196,4
POPGym,2,32,35269,5
POPGym,4,32,61702,5
POPGym,8,32,102310,5
POPGym,16,32,142368,5
POPGym,32,32,167798,5
POPGym,64,32,186795,5
POPGym,128,32,208168,5
POPGym,256,32,235812,5
POPGym,512,32,220516,5
POPGym,2,32,34300,6
POPGym,4,32,62814,6
POPGym,8,32,101344,6
POPGym,16,32,130745,6
POPGym,32,32,178251,6
POPGym,64,32,186742,6
