,Algorithm,Partial,mean,std
0,PQN (MLP),False,0.5726480638095238,0.015102196563979922
1,PQN (MLP),True,0.3294345158888889,0.011448413032643392
2,PQN_RNN (Lru),False,0.4771293922222222,0.06420174723307714
3,PQN_RNN (Lru),True,0.5898487882539682,0.011068635527257134
4,PQN_RNN (Mingru),False,0.3842568125396825,0.018851656787560643
5,PQN_RNN (Mingru),True,0.45113709799999996,0.027607982597990292
