Algorithm,MDP,POMDP,MDP_std,POMDP_std,MDP+POMDP,MDP+POMDP_std
PQN (MLP),0.5726480638095238,0.3294345158888889,0.015102196563979922,0.011448413032643392,0.45104128984920633,0.013275304798311658
PQN_RNN (Lru),0.4771293922222222,0.5898487882539682,0.06420174723307714,0.011068635527257134,0.5334890902380952,0.03763519138016714
PQN_RNN (Mingru),0.3842568125396825,0.45113709799999996,0.018851656787560643,0.027607982597990292,0.41769695526984124,0.023229819692775468
