Environment,Partial Obs,Num Envs,Num Steps,FPS,Seed
NavigatorEasy,False,256,32,317390,4
NavigatorEasy,False,512,32,335672,4
NavigatorEasy,False,2,32,44122,5
NavigatorEasy,False,4,32,82697,5
NavigatorEasy,False,8,32,132840,5
NavigatorEasy,False,16,32,186268,5
NavigatorEasy,False,32,32,235276,5
NavigatorEasy,False,64,32,273966,5
NavigatorEasy,False,128,32,293447,5
NavigatorEasy,False,256,32,317881,5
NavigatorEasy,False,512,32,336073,5
NavigatorEasy,False,2,32,43712,6
NavigatorEasy,False,4,32,82812,6
NavigatorEasy,False,8,32,129335,6
NavigatorEasy,False,16,32,184555,6
NavigatorEasy,False,32,32,226647,6
NavigatorEasy,False,64,32,276355,6
NavigatorEasy,False,128,32,295619,6
NavigatorEasy,False,256,32,319044,6
NavigatorEasy,False,512,32,336252,6
NavigatorEasy,False,2,32,46290,7
NavigatorEasy,False,4,32,78090,7
NavigatorEasy,False,8,32,130229,7
NavigatorEasy,False,16,32,181085,7
NavigatorEasy,False,32,32,225363,7
NavigatorEasy,False,64,32,271335,7
NavigatorEasy,False,128,32,294030,7
NavigatorEasy,False,256,32,318402,7
NavigatorEasy,False,512,32,335915,7
NavigatorEasy,False,2,32,15547,8
NavigatorEasy,False,4,32,78616,8
NavigatorEasy,False,8,32,134520,8
NavigatorEasy,False,16,32,175879,8
NavigatorEasy,False,32,32,234365,8
NavigatorEasy,False,64,32,275407,8
NavigatorEasy,False,128,32,295919,8
NavigatorEasy,False,256,32,318514,8
NavigatorEasy,False,512,32,335354,8
NavigatorEasy,False,2,32,41832,9
NavigatorEasy,False,4,32,75648,9
NavigatorEasy,False,8,32,130657,9
NavigatorEasy,False,16,32,194149,9
NavigatorEasy,False,32,32,237357,9
NavigatorEasy,False,64,32,270481,9
NavigatorEasy,False,128,32,291659,9
NavigatorEasy,False,256,32,317344,9
NavigatorEasy,False,512,32,336306,9
CartPoleEasy,False,2,32,184619,0
CartPoleEasy,False,4,32,366465,0
CartPoleEasy,False,8,32,512771,0
CartPoleEasy,False,16,32,1472897,0
CartPoleEasy,False,32,32,1386815,0
CartPoleEasy,False,64,32,1930756,0
CartPoleEasy,False,128,32,1771121,0
CartPoleEasy,False,256,32,2184067,0
CartPoleEasy,False,512,32,2265278,0
CartPoleEasy,False,2,32,185897,1
CartPoleEasy,False,4,32,412978,1
CartPoleEasy,False,8,32,765864,1
CartPoleEasy,False,16,32,950635,1
CartPoleEasy,False,32,32,1554458,1
CartPoleEasy,False,64,32,1774047,1
CartPoleEasy,False,128,32,1907814,1
CartPoleEasy,False,256,32,2197898,1
CartPoleEasy,False,512,32,2342576,1
CartPoleEasy,False,2,32,309257,2
CartPoleEasy,False,4,32,347489,2
CartPoleEasy,False,8,32,675734,2
CartPoleEasy,False,16,32,1020182,2
CartPoleEasy,False,32,32,1373950,2
CartPoleEasy,False,64,32,1606797,2
CartPoleEasy,False,128,32,1905487,2
CartPoleEasy,False,256,32,1994412,2
CartPoleEasy,False,512,32,2374878,2
CartPoleEasy,False,2,32,181375,3
CartPoleEasy,False,4,32,428127,3
CartPoleEasy,False,8,32,772476,3
CartPoleEasy,False,16,32,977017,3
CartPoleEasy,False,32,32,1330535,3
CartPoleEasy,False,64,32,1933364,3
CartPoleEasy,False,128,32,1900428,3
CartPoleEasy,False,256,32,2153001,3
CartPoleEasy,False,512,32,2317376,3
CartPoleEasy,False,2,32,212034,4
CartPoleEasy,False,4,32,422733,4
CartPoleEasy,False,8,32,769156,4
CartPoleEasy,False,16,32,1173488,4
CartPoleEasy,False,32,32,1301505,4
CartPoleEasy,False,64,32,1996266,4
CartPoleEasy,False,128,32,1764028,4
CartPoleEasy,False,256,32,2155838,4
CartPoleEasy,False,512,32,2323488,4
CartPoleEasy,False,2,32,247863,5
CartPoleEasy,False,4,32,440058,5
CartPoleEasy,False,8,32,781471,5
CartPoleEasy,False,16,32,1099582,5
CartPoleEasy,False,32,32,1469872,5
CartPoleEasy,False,64,32,1982903,5
CartPoleEasy,False,128,32,1887483,5
CartPoleEasy,False,256,32,2235507,5
CartPoleEasy,False,512,32,2328842,5
CartPoleEasy,False,2,32,173857,6
CartPoleEasy,False,4,32,352046,6
CartPoleEasy,False,8,32,613567,6
CartPoleEasy,False,16,32,861060,6
CartPoleEasy,False,32,32,1433567,6
CartPoleEasy,False,64,32,2297388,6
CartPoleEasy,False,128,32,1822025,6
CartPoleEasy,False,256,32,2196493,6
CartPoleEasy,False,512,32,2309433,6
CartPoleEasy,False,2,32,180521,7
CartPoleEasy,False,4,32,428811,7
CartPoleEasy,False,8,32,529198,7
CartPoleEasy,False,16,32,1076433,7
CartPoleEasy,False,32,32,1658929,7
CartPoleEasy,False,64,32,1865350,7
CartPoleEasy,False,128,32,1824928,7
CartPoleEasy,False,256,32,2120055,7
CartPoleEasy,False,512,32,2345695,7
CartPoleEasy,False,2,32,269784,8
CartPoleEasy,False,4,32,416179,8
CartPoleEasy,False,8,32,442780,8
CartPoleEasy,False,16,32,873671,8
CartPoleEasy,False,32,32,1462365,8
CartPoleEasy,False,64,32,1981530,8
CartPoleEasy,False,128,32,1908662,8
CartPoleEasy,False,256,32,2119532,8
CartPoleEasy,False,512,32,2335411,8
CartPoleEasy,False,2,32,245820,9
CartPoleEasy,False,4,32,613567,9
CartPoleEasy,False,8,32,758828,9
CartPoleEasy,False,16,32,1091756,9
CartPoleEasy,False,32,32,1707062,9
CartPoleEasy,False,64,32,2051083,9
CartPoleEasy,False,128,32,1737622,9
CartPoleEasy,False,256,32,2095617,9
CartPoleEasy,False,512,32,2357120,9
AutoEncodeEasy,False,2,32,146686,0
AutoEncodeEasy,False,4,32,517715,0
AutoEncodeEasy,False,8,32,676586,0
AutoEncodeEasy,False,16,32,1205774,0
AutoEncodeEasy,False,32,32,1541072,0
AutoEncodeEasy,False,64,32,1679362,0
AutoEncodeEasy,False,128,32,2070363,0
AutoEncodeEasy,False,256,32,2317689,0
AutoEncodeEasy,False,512,32,2615593,0
AutoEncodeEasy,False,2,32,346368,1
AutoEncodeEasy,False,4,32,676160,1
AutoEncodeEasy,False,8,32,1275228,1
AutoEncodeEasy,False,16,32,963862,1
AutoEncodeEasy,False,32,32,1662139,1
AutoEncodeEasy,False,64,32,1612528,1
AutoEncodeEasy,False,128,32,1960054,1
AutoEncodeEasy,False,256,32,2351957,1
AutoEncodeEasy,False,512,32,2559480,1
AutoEncodeEasy,False,2,32,341087,2
AutoEncodeEasy,False,4,32,726483,2
AutoEncodeEasy,False,8,32,1157049,2
AutoEncodeEasy,False,16,32,1409110,2
AutoEncodeEasy,False,32,32,1639926,2
AutoEncodeEasy,False,64,32,1740262,2
AutoEncodeEasy,False,128,32,2076619,2
AutoEncodeEasy,False,256,32,2249410,2
AutoEncodeEasy,False,512,32,2516367,2
AutoEncodeEasy,False,2,32,312862,3
AutoEncodeEasy,False,4,32,703632,3
AutoEncodeEasy,False,8,32,905347,3
AutoEncodeEasy,False,16,32,921271,3
AutoEncodeEasy,False,32,32,1633689,3
AutoEncodeEasy,False,64,32,2029758,3
AutoEncodeEasy,False,128,32,1975379,3
AutoEncodeEasy,False,256,32,2319410,3
AutoEncodeEasy,False,512,32,2687399,3
AutoEncodeEasy,False,2,32,211367,4
AutoEncodeEasy,False,4,32,606634,4
AutoEncodeEasy,False,8,32,712976,4
AutoEncodeEasy,False,16,32,1648107,4
AutoEncodeEasy,False,32,32,1635555,4
AutoEncodeEasy,False,64,32,1545230,4
AutoEncodeEasy,False,128,32,1913339,4
AutoEncodeEasy,False,256,32,2267670,4
AutoEncodeEasy,False,512,32,2574342,4
AutoEncodeEasy,False,2,32,334708,5
AutoEncodeEasy,False,4,32,464020,5
AutoEncodeEasy,False,8,32,720632,5
AutoEncodeEasy,False,16,32,1296790,5
AutoEncodeEasy,False,32,32,1706384,5
AutoEncodeEasy,False,64,32,1860098,5
AutoEncodeEasy,False,128,32,2000218,5
AutoEncodeEasy,False,256,32,2301543,5
AutoEncodeEasy,False,512,32,2567609,5
AutoEncodeEasy,False,2,32,335544,6
AutoEncodeEasy,False,4,32,661171,6
AutoEncodeEasy,False,8,32,800702,6
AutoEncodeEasy,False,16,32,1307846,6
AutoEncodeEasy,False,32,32,955924,6
AutoEncodeEasy,False,64,32,1819901,6
AutoEncodeEasy,False,128,32,1970394,6
AutoEncodeEasy,False,256,32,2267970,6
AutoEncodeEasy,False,512,32,2627393,6
AutoEncodeEasy,False,2,32,169896,7
AutoEncodeEasy,False,4,32,667750,7
AutoEncodeEasy,False,8,32,997901,7
AutoEncodeEasy,False,16,32,979691,7
AutoEncodeEasy,False,32,32,1503314,7
AutoEncodeEasy,False,64,32,1811076,7
AutoEncodeEasy,False,128,32,1885618,7
AutoEncodeEasy,False,256,32,2314878,7
AutoEncodeEasy,False,512,32,2581789,7
AutoEncodeEasy,False,2,32,294015,8
AutoEncodeEasy,False,4,32,653923,8
AutoEncodeEasy,False,8,32,1126697,8
AutoEncodeEasy,False,16,32,810371,8
AutoEncodeEasy,False,32,32,1427848,8
AutoEncodeEasy,False,64,32,1805367,8
AutoEncodeEasy,False,128,32,2077624,8
AutoEncodeEasy,False,256,32,2266623,8
AutoEncodeEasy,False,512,32,2521816,8
AutoEncodeEasy,False,2,32,330586,9
AutoEncodeEasy,False,4,32,455361,9
AutoEncodeEasy,False,8,32,847468,9
AutoEncodeEasy,False,16,32,1335500,9
AutoEncodeEasy,False,32,32,1415612,9
AutoEncodeEasy,False,64,32,1636178,9
AutoEncodeEasy,False,128,32,1890599,9
AutoEncodeEasy,False,256,32,2421576,9
AutoEncodeEasy,False,512,32,2594559,9
BattleShipEasy,False,2,32,58128,0
BattleShipEasy,False,4,32,94420,0
BattleShipEasy,False,8,32,182454,0
BattleShipEasy,False,16,32,257832,0
BattleShipEasy,False,32,32,301401,0
BattleShipEasy,False,64,32,360952,0
BattleShipEasy,False,128,32,419379,0
BattleShipEasy,False,256,32,455464,0
BattleShipEasy,False,512,32,470066,0
BattleShipEasy,False,2,32,56347,1
BattleShipEasy,False,4,32,102554,1
BattleShipEasy,False,8,32,178451,1
BattleShipEasy,False,16,32,265811,1
BattleShipEasy,False,32,32,292016,1
BattleShipEasy,False,64,32,356444,1
BattleShipEasy,False,128,32,411652,1
BattleShipEasy,False,256,32,452274,1
BattleShipEasy,False,512,32,466832,1
BattleShipEasy,False,2,32,58028,2
BattleShipEasy,False,4,32,103663,2
BattleShipEasy,False,8,32,163880,2
BattleShipEasy,False,16,32,260934,2
BattleShipEasy,False,32,32,317206,2
BattleShipEasy,False,64,32,372859,2
BattleShipEasy,False,128,32,409434,2
BattleShipEasy,False,256,32,451537,2
BattleShipEasy,False,512,32,468477,2
